timestamp,open,high,low,close,volume
1767330000,4386.0000,4395.0000,4383.5000,4394.1001,3281
1767333600,4393.5000,4394.0000,4386.1001,4387.6001,3086
1767337200,4387.6001,4395.5000,4384.2002,4394.7002,4400
1767340800,4394.6001,4409.5000,4392.6001,4399.2002,6746
1767344400,4398.8999,4404.0000,4395.6001,4397.5000,3669
1767348000,4397.6001,4410.7998,4396.7002,4408.7002,4548
1767351600,4408.3999,4411.7998,4403.0000,4405.5000,3373
1767355200,4405.2002,4410.7002,4397.3999,4407.0000,3861
1767358800,4407.0000,4414.7998,4373.6001,4377.6001,15740
1767362400,4377.7998,4385.7998,4359.2002,4364.7002,15685
1767366000,4364.7002,4368.7002,4341.3999,4346.5000,18053
1767369600,4346.7002,4348.6001,4325.2998,4337.5000,14664
1767373200,4337.1001,4344.5000,4332.8999,4332.8999,7096
1767376800,4333.0000,4334.1001,4319.7002,4325.2998,11113
1767380400,4325.5000,4336.2002,4325.5000,4328.1001,5850
1767384000,4328.2998,4341.3999,4327.3999,4341.2998,4460
1767387600,4341.3999,4342.7002,4329.6001,4329.6001,1786
1767567600,4368.7998,4385.3999,4363.2998,4381.3999,8207
1767571200,4381.8999,4406.3999,4379.2998,4404.5000,8865
1767574800,4404.6001,4430.7002,4400.3999,4411.1001,14897
1767578400,4411.3999,4418.7998,4397.1001,4415.0000,6408
1767582000,4414.7998,4423.2002,4408.5000,4408.7998,4021
1767585600,4408.6001,4417.7998,4406.1001,4415.1001,2929
1767589200,4413.3999,4423.6001,4410.0000,4421.3999,3965
1767592800,4421.1001,4436.1001,4420.2998,4429.7002,10166
1767596400,4429.8999,4434.8999,4426.2998,4431.2002,6504
1767600000,4431.3999,4444.0000,4429.2002,4439.8999,7270
1767603600,4439.7998,4449.1001,4436.7998,4445.8999,7760
1767607200,4446.0000,4451.7002,4441.6001,4447.3999,6568
1767610800,4447.7002,4448.7998,4422.2002,4430.7002,8518
1767614400,4430.5000,4433.0000,4416.7002,4421.3999,6058
1767618000,4421.5000,4430.6001,4407.0000,4428.7998,16051
1767621600,4429.0000,4454.2998,4428.2998,4447.7998,20601
1767625200,4448.2002,4467.6001,4445.6001,4459.0000,22123
1767628800,4458.7998,4465.7998,4448.8999,4452.7002,11430
1767632400,4452.8999,4459.6001,4443.2002,4454.2002,9525
1767636000,4453.8999,4459.7002,4450.3999,4459.7002,7603
1767639600,4459.8999,4461.0000,4445.6001,4450.8999,5235
1767643200,4450.7002,4458.0000,4448.2998,4454.8999,5372
1767646800,4455.1001,4460.7998,4453.7998,4459.7002,2141
1767654000,4459.7998,4471.6001,4447.0000,4450.7002,0
1767657600,4450.6001,4455.6001,4440.7002,4447.3999,3596
1767661200,4447.3999,4462.2002,4437.8999,4460.0000,5879
1767664800,4460.1001,4472.0000,4458.1001,4464.8999,6401
1767668400,4464.7998,4478.8999,4464.2002,4478.2998,4261
1767672000,4478.2998,4479.3999,4472.1001,4478.0000,2654
1767675600,4477.8999,4485.2002,4460.2002,4463.2998,5168
1767679200,4463.2998,4476.8999,4462.3999,4475.6001,4915
1767682800,4475.5000,4480.5000,4466.7998,4469.2998,5298
1767686400,4468.5000,4486.0000,4466.8999,4478.7998,7670
1767690000,4479.0000,4479.2002,4454.7002,4456.5000,9648
1767693600,4456.2002,4466.0000,4452.5000,4461.7002,4495
1767697200,4461.7002,4475.2998,4458.3999,4474.1001,5045
1767700800,4474.1001,4477.2002,4469.2998,4474.3999,3828
1767704400,4474.2002,4481.0000,4464.1001,4478.2002,9761
1767708000,4478.3999,4500.7002,4474.7002,4498.2998,19971
1767711600,4498.0000,4501.7998,4474.3999,4488.5000,20899
1767715200,4488.3999,4499.7002,4481.7002,4498.7002,9090
1767718800,4498.7002,4501.6001,4493.7002,4499.8999,8290
1767722400,4499.7998,4503.7002,4492.2002,4500.0000,12027
1767726000,4497.7998,4498.3999,4488.0000,4492.2002,6615
1767729600,4492.1001,4504.7002,4491.6001,4504.2002,5373
1767733200,4504.1001,4508.2998,4502.3999,4505.7002,1945
1767740400,4505.3999,4512.3999,4503.3999,4504.6001,0
1767744000,4504.7998,4506.3999,4493.2002,4502.8999,4514
1767747600,4503.2002,4506.8999,4471.8999,4476.5000,10526
1767751200,4476.3999,4490.5000,4471.2998,4486.0000,6215
1767754800,4486.0000,4491.5000,4482.7002,4485.7002,2874
1767758400,4485.6001,4487.0000,4473.5000,4474.3999,5174
1767762000,4474.7002,4480.6001,4453.3999,4464.1001,8608
1767765600,4464.1001,4470.2002,4451.5000,4454.7998,8119
1767769200,4454.3999,4475.2002,4452.0000,4470.7998,4956
1767772800,4470.7002,4485.0000,4468.8999,4478.2998,5360
1767776400,4477.8999,4478.5000,4469.2002,4473.6001,4240
1767780000,4473.2002,4477.7002,4468.2002,4474.2002,2785
1767783600,4474.2998,4474.7998,4456.2002,4456.8999,5134
1767787200,4457.2998,4464.2002,4448.6001,4454.5000,7679
1767790800,4454.2998,4463.0000,4436.6001,4462.8999,21977
1767794400,4462.7002,4464.1001,4445.5000,4454.6001,18786
1767798000,4454.6001,4462.5000,4432.8999,4456.6001,25525
1767801600,4456.2998,4478.3999,4453.7998,4474.2002,16457
1767805200,4474.1001,4475.5000,4459.3999,4461.7998,10465
1767808800,4461.6001,4468.7998,4457.2002,4461.6001,10428
1767812400,4461.7002,4467.7998,4455.0000,4466.7998,5774
1767816000,4466.7998,4471.5000,4460.7002,4462.6001,6297
1767819600,4462.5000,4467.1001,4459.8999,4467.1001,1624
1767826800,4467.1001,4473.2002,4467.1001,4472.2002,0
1767830400,4472.0000,4475.2002,4455.1001,4459.0000,3442
1767834000,4458.6001,4469.3999,4450.2002,4457.1001,7105
1767837600,4457.1001,4458.2998,4441.7002,4449.7002,5985
1767841200,4450.1001,4455.3999,4445.5000,4448.2002,2735
1767844800,4448.2998,4448.7002,4438.3999,4440.6001,2887
1767848400,4439.7998,4441.0000,4423.6001,4433.6001,8429
1767852000,4433.3999,4445.7002,4423.7002,4441.5000,6833
1767855600,4441.3999,4448.3999,4436.1001,4438.6001,4898
1767859200,4438.5000,4441.3999,4427.3999,4439.3999,5248
1767862800,4439.2002,4443.2998,4433.5000,4440.2998,4190
1767866400,4440.2998,4443.0000,4430.6001,4441.6001,5023
1767870000,4441.5000,4441.6001,4429.6001,4431.0000,3018
1767873600,4430.8999,4439.0000,4415.0000,4434.7002,10887
1767877200,4435.1001,4444.5000,4425.0000,4432.0000,11685
1767880800,4432.2998,4448.2002,4427.2002,4441.3999,15781
1767884400,4441.3999,4465.7002,4436.2998,4463.5000,26018
1767888000,4463.6001,4474.5000,4456.2002,4472.5000,12422
1767891600,4472.7002,4475.7998,4466.7998,4472.7998,10551
1767895200,4472.7002,4472.7998,4456.8999,4458.8999,21921
1767898800,4458.8999,4462.0000,4453.7002,4460.8999,4488
1767902400,4460.7998,4487.7002,4460.2998,4485.1001,12281
1767906000,4485.2002,4489.2998,4482.0000,4487.8999,3624
1767913200,4489.2998,4493.7002,4482.2002,4485.2998,0
1767916800,4485.6001,4486.8999,4469.3999,4472.3999,3933
1767920400,4472.5000,4478.7998,4461.7998,4477.3999,6734
1767924000,4477.7998,4485.5000,4474.7998,4478.8999,4420
1767927600,4478.7002,4479.5000,4469.3999,4472.7998,2641
1767931200,4473.1001,4475.7998,4469.3999,4474.5000,2147
1767934800,4473.3999,4480.7998,4466.6001,4476.5000,3551
1767938400,4477.1001,4486.0000,4474.3999,4483.0000,3876
1767942000,4483.2998,4484.7002,4477.2002,4479.2998,4245
1767945600,4478.7998,4485.7998,4472.7998,4476.8999,4536
1767949200,4477.1001,4486.3999,4477.0000,4479.3999,3389
1767952800,4479.7002,4482.7002,4475.7002,4481.2998,3216
1767956400,4481.3999,4485.2998,4477.3999,4484.2998,4102
1767960000,4484.2002,4489.6001,4469.5000,4474.5000,6698
1767963600,4474.6001,4500.7998,4467.0000,4492.0000,18200
1767967200,4492.2002,4507.7998,4488.1001,4503.8999,24000
1767970800,4503.3999,4527.0000,4499.2002,4521.5000,25952
1767974400,4521.7998,4523.7998,4509.2998,4516.5000,12664
1767978000,4516.3999,4521.5000,4491.3999,4493.8999,17982
1767981600,4493.6001,4514.1001,4492.3999,4505.8999,27012
1767985200,4505.7998,4511.2998,4502.2998,4508.2998,4954
1767988800,4508.0000,4518.7998,4506.7998,4516.1001,7020
1767992400,4516.0000,4520.2998,4513.6001,4517.8999,2292
1768172400,4538.1001,4555.0000,4531.3999,4550.1001,7488
1768176000,4550.0000,4612.7002,4546.2998,4600.0000,25099
1768179600,4600.2002,4606.1001,4581.3999,4582.1001,15923
1768183200,4581.6001,4594.0000,4573.1001,4589.3999,9893
1768186800,4589.5000,4593.5000,4579.3999,4582.6001,4417
1768190400,4582.7998,4584.0000,4574.7998,4579.3999,3594
1768194000,4580.0000,4595.6001,4576.8999,4591.2998,5409
1768197600,4591.2998,4591.2998,4580.7998,4589.2998,4992
1768201200,4589.7002,4599.7998,4585.3999,4597.7998,7725
1768204800,4597.7002,4608.5000,4589.6001,4607.0000,7975
1768208400,4606.8999,4609.6001,4597.8999,4599.3999,6771
1768212000,4599.5000,4605.7998,4596.1001,4604.5000,5984
1768215600,4604.7002,4605.3999,4591.5000,4594.7998,5061
1768219200,4595.0000,4600.3999,4587.6001,4600.3999,7086
1768222800,4600.3999,4630.7998,4598.5000,4626.2998,21446
1768226400,4626.6001,4628.1001,4595.1001,4612.1001,29042
1768230000,4611.7998,4638.2002,4611.3999,4630.8999,27369
1768233600,4630.8999,4640.5000,4618.0000,4627.0000,22590
1768237200,4626.7998,4630.7002,4620.0000,4626.8999,10555
1768240800,4626.8999,4629.2002,4609.7998,4620.2998,30106
1768244400,4620.6001,4628.8999,4618.2998,4620.6001,6888
1768248000,4620.5000,4621.2002,4601.0000,4603.2998,8921
1768251600,4603.3999,4609.0000,4598.7002,4608.7998,4157
1768258800,4610.0000,4616.8999,4586.3999,4607.6001,0
1768262400,4607.5000,4607.7002,4593.2998,4595.7998,3692
1768266000,4596.2002,4604.5000,4584.2998,4586.3999,6588
1768269600,4586.0000,4604.2002,4585.0000,4603.1001,4580
1768273200,4602.7998,4608.7002,4601.2998,4603.1001,3892
1768276800,4603.3999,4608.7998,4603.0000,4606.3999,3136
1768280400,4605.6001,4611.2002,4594.0000,4600.7002,4754
1768284000,4600.5000,4600.7998,4582.7998,4590.5000,5973
1768287600,4590.7998,4595.2998,4585.6001,4589.1001,5941
1768291200,4588.8999,4605.3999,4587.7998,4601.6001,6412
1768294800,4601.1001,4604.1001,4594.5000,4595.2002,4291
1768298400,4595.2998,4597.2998,4589.3999,4595.0000,4374
1768302000,4595.2002,4600.7998,4590.7998,4596.8999,7371
