timestamp,open,high,low,close,volume
1735794000,108.5300,109.5300,108.2700,109.3900,0
1735880400,109.2000,109.2200,108.9000,108.9500,0
1736139600,108.9200,109.0700,107.7500,108.2600,0
1736226000,108.3400,108.7000,107.8500,108.5400,0
1736312400,108.6200,109.3800,108.5500,109.0900,0
1736398800,109.0900,109.3800,108.9400,109.1800,0
1736485200,109.2300,109.9700,109.0800,109.6500,0
1736744400,109.6400,110.1800,109.4100,109.9600,0
1736830800,109.5700,109.7600,109.1800,109.2700,0
1736917200,109.2300,109.3800,108.6000,109.0900,0
1737003600,109.0700,109.3800,108.8300,108.9600,0
1737090000,108.9300,109.4200,108.8300,109.3500,0
1737435600,107.9800,108.7900,107.9200,108.0600,0
1737522000,107.9900,108.2700,107.7500,108.1700,0
1737608400,108.2500,108.5100,107.9200,108.0500,0
1737694800,108.0900,108.1900,107.2200,107.4400,0
1737954000,107.4700,107.8100,106.9700,107.3400,0
1738040400,107.7100,108.0500,107.6900,107.8700,0
1738126800,107.8900,108.3000,107.7500,108.0000,0
1738213200,107.8600,108.2400,107.5000,107.8000,0
1738299600,108.1600,108.5700,107.7900,108.3700,0
1738558800,108.5000,109.8800,108.3400,108.9900,0
1738645200,108.6800,109.0400,107.9200,107.9600,0
1738731600,108.0100,108.0100,107.3000,107.5800,0
1738818000,107.6200,108.1000,107.5400,107.6900,0
1738904400,107.7000,108.3200,107.5200,108.0400,0
1739163600,108.1000,108.4400,108.0900,108.3200,0
1739250000,108.3400,108.4600,107.7800,107.9600,0
1739336400,108.0100,108.5200,107.6300,107.9400,0
1739422800,107.9200,108.0000,107.0300,107.3100,0
1739509200,107.1200,107.1800,106.5700,106.5700,0
1739854800,106.8200,107.1200,106.8100,107.0500,0
1739941200,107.0300,107.3800,106.8800,107.1700,0
1740027600,107.1200,107.1500,106.3400,106.3400,0
1740114000,106.4600,106.7500,106.3800,106.6100,0
1740373200,106.6400,106.7500,106.1300,106.6000,0
1740459600,106.7700,106.7900,106.1900,106.3100,0
1740546000,106.1700,106.6500,106.1600,106.4200,0
1740632400,106.5300,107.3100,106.5200,107.2400,0
1740718800,107.2500,107.6600,107.1800,107.6100,0
1740978000,107.5600,107.5600,106.4700,106.7500,0
1741064400,106.5600,106.6500,105.5300,105.7400,0
1741150800,105.6200,105.7700,104.2600,105.7400,0
1741237200,104.3200,104.3900,103.7600,104.0600,0
1741323600,104.1100,104.2400,103.4600,103.8400,0
1741579200,103.9100,104.0600,103.5600,103.9100,0
1741665600,103.8400,103.9200,103.2200,103.4400,0
1741752000,103.4200,103.7800,103.3500,103.6100,0
1741838400,103.6100,104.0800,103.5100,103.8300,0
1741924800,103.8400,104.0900,103.5700,103.7200,0
1742184000,103.7400,103.8100,103.3000,103.3700,0
