timestamp,data_size,rsi_val,rsi_p,macd_val,macd_f,macd_s,macd_sig,atr_val,atr_p,cmf_val,cmf_p
1775741400,28,58.0981,14,-31.0914,12,26,9,106.8931,14,-0.1664,20
1776259800,10,98.3224,14,3037.2650,12,26,9,59.3900,14,0.5638,20
1776432600,10,98.5333,14,3082.5555,12,26,9,57.0043,14,0.6200,20
1777901400,2,0.0000,14,647.5390,12,26,9,8.1157,14,-0.5902,20
